,NewGenPopulation,NewGenOrange,NewGenYellow,NewGenBlue,TotalPop,TotalOrange,TotalYellow,TotalBlue,ShareOrange,ShareYellow,ShareBlue,BestStrategy,Pred_O,Pred_Y,Pred_B
116,3289,39,1766,1484,9819,87.0,6280.0,3452.0,0.008860372746715552,0.6395763316019961,0.3515632956512883,Yellow,,,
117,3324,32,1408,1884,9877,99.0,5285.0,4493.0,0.010023286423002936,0.5350815024805102,0.4548952110964868,Blue,,,
118,3391,59,981,2351,10004,130.0,4155.0,5719.0,0.012994802079168333,0.41533386645341863,0.571671331467413,Blue,,,
119,3436,82,630,2724,10151,173.0,3019.0,6959.0,0.01704265589597084,0.29740912225396515,0.685548221850064,Blue,,,
120,3441,96,338,3007,10268,237.0,1949.0,8082.0,0.02308141799766264,0.18981301129723413,0.7871055707051032,Blue,,,
121,3444,116,141,3187,10321,294.0,1109.0,8918.0,0.028485611859315956,0.1074508284081,0.8640635597325841,Blue,,,
122,3426,161,53,3212,10311,373.0,532.0,9406.0,0.036174958781883426,0.051595383570943655,0.9122296576471729,Blue,,,
123,3268,227,19,3022,10138,504.0,213.0,9421.0,0.0497139475241665,0.021010061156046558,0.9292759913197869,Blue,,,
124,3215,306,13,2896,9909,694.0,85.0,9130.0,0.07003733979210819,0.008578060349177515,0.9213845998587143,Blue,,,
125,3229,431,11,2787,9712,964.0,43.0,8705.0,0.09925864909390444,0.004427512355848435,0.8963138385502472,Blue,,,
126,3247,607,16,2624,9691,1344.0,40.0,8307.0,0.13868537818594573,0.0041275410174388604,0.8571870807966154,Blue,,,
127,3238,832,18,2388,9714,1870.0,45.0,7799.0,0.19250566193123328,0.004632489190858555,0.8028618488779081,Blue,,,
128,3289,1114,34,2141,9774,2553.0,68.0,7153.0,0.26120319214241866,0.006957233476570493,0.7318395743810109,Blue,,,
129,3275,1466,34,1775,9802,3412.0,86.0,6304.0,0.34809222607631096,0.008773719649051215,0.6431340542746379,Blue,,,
130,3293,1841,54,1398,9857,4421.0,122.0,5314.0,0.4485137465760373,0.012376990970883637,0.539109262453079,Orange,,,
131,3289,2245,59,985,9857,5552.0,147.0,4158.0,0.5632545399208684,0.014913259612458152,0.4218322004666734,Orange,,,
132,3292,2595,75,622,9874,6681.0,188.0,3005.0,0.6766254810613733,0.019039902774964552,0.30433461616366214,Orange,,,
133,3287,2842,98,347,9868,7682.0,232.0,1954.0,0.7784758816376165,0.023510336441021483,0.198013781921362,Orange,,,
134,3279,3017,111,151,9858,8454.0,284.0,1120.0,0.8575776019476568,0.02880908906471901,0.11361330898762427,Orange,,,
135,3298,3076,159,63,9864,8935.0,368.0,561.0,0.9058191403081914,0.0373073803730738,0.05687347931873479,Orange,,,
136,3320,3070,235,15,9897,9163.0,505.0,229.0,0.9258361119531171,0.05102556330201071,0.023138324744872183,Orange,,,
137,3240,2901,328,11,9858,9047.0,722.0,89.0,0.9177317914384256,0.07324000811523636,0.009028200446338,Orange,,,
138,3261,2789,456,16,9821,8760.0,1019.0,42.0,0.8919661948885043,0.10375725486203034,0.0042765502494654314,Orange,,,
139,3280,2626,636,18,9781,8316.0,1420.0,45.0,0.8502198139249566,0.14517942950618545,0.00460075656885799,Orange,,,
140,3311,2426,865,20,9852,7841.0,1957.0,54.0,0.7958790093382054,0.1986398700771417,0.0054811205846528625,Orange,,,
141,3367,2167,1186,14,9958,7219.0,2687.0,52.0,0.724944768025708,0.2698332998594095,0.005221932114882507,Orange,,,
142,3355,1746,1576,33,10033,6339.0,3627.0,67.0,0.631815010465464,0.36150702681152197,0.006677962723014054,Orange,,,
143,3391,1384,1963,44,10113,5297.0,4725.0,91.0,0.5237812716305745,0.467220409374073,0.008998318995352517,Yellow,,,
144,3444,949,2433,62,10190,4079.0,5972.0,139.0,0.4002944062806673,0.5860647693817468,0.013640824337585868,Yellow,,,
145,3541,605,2842,94,10376,2938.0,7238.0,200.0,0.28315343099460294,0.6975713184271396,0.01927525057825752,Yellow,,,
146,3528,329,3102,97,10513,1883.0,8377.0,253.0,0.17911157614382192,0.7968229810710549,0.02406544278512318,Yellow,,,
147,3521,143,3247,131,10590,1077.0,9191.0,322.0,0.10169971671388102,0.8678942398489141,0.030406043437204912,Yellow,,,
148,3481,68,3231,182,10530,540.0,9580.0,410.0,0.05128205128205128,0.9097815764482431,0.0389363722697056,Yellow,,,
149,3328,22,3049,257,10330,233.0,9527.0,570.0,0.02255566311713456,0.9222652468538238,0.05517909002904162,Yellow,,,
150,3276,11,2910,355,10085,101.0,9190.0,794.0,0.010014873574615765,0.9112543381259296,0.07873078829945464,Yellow,,,
151,3315,10,2811,494,9919,43.0,8770.0,1106.0,0.004335114426857546,0.8841617098497833,0.11150317572335922,Yellow,,,
152,3331,10,2624,697,9922,31.0,8345.0,1546.0,0.0031243700866760734,0.8410602701068333,0.15581535980649064,Yellow,,,
153,3388,30,2400,958,10034,50.0,7835.0,2149.0,0.004983057604145904,0.7808451265696631,0.21417181582619096,Yellow,,,
154,3431,24,2103,1304,10150,64.0,7127.0,2959.0,0.006305418719211823,0.702167487684729,0.2915270935960591,Yellow,,,
155,3463,53,1732,1678,10282,107.0,6235.0,3940.0,0.010406535693444855,0.6063995331647539,0.3831939311418012,Yellow,,,
156,3448,43,1307,2098,10342,120.0,5142.0,5080.0,0.011603171533552505,0.4971959002127248,0.4912009282537227,Blue,,,
157,3446,72,879,2495,10357,168.0,3918.0,6271.0,0.016220913391908853,0.37829487303273146,0.6054842135753596,Blue,,,
158,3439,79,494,2866,10333,194.0,2680.0,7459.0,0.018774799187070552,0.259363205264686,0.7218619955482435,Blue,,,
159,3469,107,282,3080,10354,258.0,1655.0,8441.0,0.024917906123237396,0.15984160710836393,0.8152404867683987,Blue,,,
160,3495,142,130,3223,10403,328.0,906.0,9169.0,0.031529366528885897,0.08709026242430068,0.8813803710468134,Blue,,,
161,3421,205,45,3171,10385,454.0,457.0,9474.0,0.04371689937409726,0.04400577756379393,0.9122773230621088,Blue,,,
162,3279,274,10,2995,10195,621.0,185.0,9389.0,0.06091221186856302,0.018146150073565473,0.9209416380578715,Blue,,,
163,3269,381,7,2881,9969,860.0,62.0,9047.0,0.08626742902999297,0.006219279767278564,0.9075132912027285,Blue,,,
164,3288,538,8,2742,9836,1193.0,25.0,8618.0,0.12128914192761285,0.0025416836112240747,0.876169174461163,Blue,,,
165,3300,750,20,2530,9857,1669.0,35.0,8153.0,0.16932129451151465,0.0035507760982043217,0.827127929390281,Blue,,,
166,3323,1027,19,2277,9911,2315.0,47.0,7549.0,0.23357885178084956,0.004742205630107961,0.7616789425890425,Blue,,,
167,3314,1352,34,1928,9937,3129.0,73.0,6735.0,0.3148837677367415,0.007346281573915669,0.6777699506893429,Blue,,,
168,3308,1742,31,1535,9945,4121.0,84.0,5740.0,0.4143790849673203,0.008446455505279034,0.5771744595274007,Orange,,,
169,3317,2129,52,1136,9939,5223.0,117.0,4599.0,0.525505584062783,0.011771808028976758,0.46272260790824027,Orange,,,
170,3392,2539,75,778,10017,6410.0,158.0,3449.0,0.6399121493461116,0.015773185584506338,0.3443146650693821,Orange,,,
171,3426,2879,87,460,10135,7547.0,214.0,2374.0,0.7446472619634928,0.021114948199309324,0.23423778983719784,Orange,,,
172,3469,3122,110,237,10287,8540.0,272.0,1475.0,0.8301740060270244,0.02644113930203169,0.14338485467094392,Orange,,,
173,3478,3231,158,89,10373,9232.0,355.0,786.0,0.8900028921237829,0.03422346476429191,0.07577364311192519,Orange,,,
